6480764,Lost Girls,book,Author=Andrew Pyper,Publisher=Harperperennial,Year=0
6485200,The Piano Man's Daughter,book,Author=Timothy Findley,Publisher=Britnell Book Wholesalers,Year=1999
6485936,Dust,book,Author=Arthur G. Slade,Publisher=HarperCollins Publishers,Year=2001
6512062,Trials of Tiffany Trott,book,Author=Isabel Wolff,Publisher=Harper Collins Publishers,Year=1998
6514480,FUTON FEVER,book,Author=Dawn Anderson,Publisher=HarperCollins Publishers,Year=2000
6543545,The bookshop,book,Author=Penelope Fitzgerald,Publisher=Flamingo,Year=1989
6546684,Postcards,book,Author=E Annie Proulx,Publisher=Flamingo,Year=0
6547834,Miss Smillas Feeling for Snow,book,Author=Peter Hoeg,Publisher=Flamingo,Year=0
6550576,Red Leaves,book,Author=Paullina Simons,Publisher=Flamingo,Year=0
6550649,Cocaine Nights,book,Author=J G Ballard,Publisher=Flamingo,Year=0
6550789,253,book,Author=Geoff Ryman,Publisher=Flamingo,Year=0
6550924,Seven Years In Tibet,book,Author=Heinrich Harrer,Publisher=Flamingo,Year=0
6551971,Swimmer,book,Author=Bill Broady,Publisher=Trafalgar Square,Year=2003
6716652,Voyage of the Dawn Treader,book,Author=C S Lewis,Publisher=Fairmount Books Ltd Remainders,Year=0
60000961,Windtalkers,book,Author=Max A. Collins,Publisher=HarperEntertainment,Year=2001
60001445,Her Highness My Wife,book,Author=Victoria Alexander,Publisher=Avon,Year=2002
60001453,Love With the Proper Husband (Avon Historical Romance),book,Author=Victoria Alexander,Publisher=Avon,Year=2003
60001801,When Night Falls,book,Author=Cait London,Publisher=Avon,Year=2002
60002050,On a Wicked Dawn (Cynster Novels),book,Author=Stephanie Laurens,Publisher=Avon Books,Year=2002
60002069,The Lady Chosen,book,Author=Stephanie Laurens,Publisher=Avon Books,Year=2003
60002077,A Gentleman's Honor,book,Author=Stephanie Laurens,Publisher=Avon Books,Year=2003
60002492,Amazonia,book,Author=James Rollins,Publisher=Avon Books,Year=2003
60005424,Lirael: Daughter of the Clayr,book,Author=Garth Nix,Publisher=HarperTrophy,Year=2002
60005548,Beyond Suspicion,book,Author=James Grippando,Publisher=HarperTorch,Year=2003
60007192,Lemony Snicket: The Unauthorized Autobiography,book,Author=Lemony Snicket,Publisher=HarperCollins,Year=2002
60007575,In Sunlight in a Beautiful Garden : A Novel,book,Author=Kathleen Cambor,Publisher=Perennial,Year=2002
60007788,Finding Fish: A Memoir,book,Author=Antwone Q. Fisher,Publisher=Perennial,Year=2001
60008024,Angels,book,Author=Marian Keyes,Publisher=William Morrow,Year=2002
60008032,Angels,book,Author=Marian Keyes,Publisher=HarperTorch,Year=2003
60008725,Tishomingo Blues: A Novel,book,Author=Elmore Leonard,Publisher=William Morrow &amp; Company,Year=2002
60008776,Pagan Babies,book,Author=Elmore Leonard,Publisher=HarperTorch,Year=2002
60008865,Do No Harm,book,Author=Gregg Hurwitz,Publisher=William Morrow,Year=2002
60008873,Do No Harm,book,Author=Gregg Hurwitz,Publisher=HarperTorch,Year=2003
60009241,See Jane Score (Avon Romance),book,Author=Rachel Gibson,Publisher=Avon,Year=2003
60011912,Small Town,book,Author=Lawrence Block,Publisher=HarperTorch,Year=2003
60012331,The Amazing Maurice and His Educated Rodents,book,Author=Terry Pratchett,Publisher=Harpercollins Juvenile Books,Year=2001
60012781,A Cook's Tour : Global Adventures in Extreme Cuisines,book,Author=Anthony Bourdain,Publisher=Ecco,Year=2002
60012897,Sheltering Rain,book,Author=Jojo Moyes,Publisher=HarperTorch,Year=2003
60013117,Night Watch,book,Author=Terry Pratchett,Publisher=HarperCollins,Year=2002
60013125,Night Watch,book,Author=Terry Pratchett,Publisher=HarperTorch,Year=2003
60014342,In the Wake of the Plague: The Black Death and the World It Made,book,Author=Norman Cantor,Publisher=Perennial,Year=2002
